PY,IPA
a,a
ai,ai
an,an
ang,aŋ
ao,au
ba,pa
bai,pai
ban,pan
bang,paŋ
bao,pau
bei,pei
ben,pən
beng,pəŋ
bi,pi
bian,piɛn
biao,piau
bie,pie
bin,pin
bing,piŋ
bo,puo
bu,pu
ca,tsʰa
cai,tsʰai
can,tsʰan
cang,tsʰaŋ
cao,tsʰau
ce,tsʰɤ
cen,tsʰən
ceng,tsʰəŋ
cha,ʈʂʰa
chai,ʈʂʰai
chan,ʈʂʰan
chang,ʈʂʰaŋ
chao,ʈʂʰau
che,ʈʂʰɤ
chen,ʈʂʰən
cheng,ʈʂʰəŋ
chi,ʈʂʰɨ
chong,ʈʂʰʊŋ
chou,ʈʂʰou
chu,ʈʂʰu
chua,ʈʂʰua
chuai,ʈʂʰuai
chuan,ʈʂʰuan
chuang,ʈʂʰuaŋ
chui,ʈʂʰuei
chun,ʈʂʰuən
chuo,ʈʂʰuo
ci,tsʰɨ
cong,tsʰʊŋ
cou,tsʰou
cu,tsʰu
cuan,tsʰuan
cui,tsʰuei
cun,tsʰuən
cuo,tsʰuo
da,ta
dai,tai
dan,tan
dang,taŋ
dao,tau
de,tɤ
dei,tei
den,tən
deng,təŋ
di,ti
dian,tiɛn
diang,tiaŋ
diao,tiau
die,tie
ding,tiŋ
diu,tiou
dong,tʊŋ
dou,tou
du,tu
duan,tuan
dui,tuei
dun,tuən
duo,tuo
e,ɤ
ê,ɛ
ei,ei
en,ən
eng,əŋ
er,aɚ
fa,fa
fan,fan
fang,faŋ
fei,fei
fen,fən
feng,fəŋ
fo,fuo
fou,fou
fu,fu
ga,ka
gai,kai
gan,kan
gang,kaŋ
gao,kau
ge,kɤ
gei,kei
gen,kən
geng,kəŋ
gong,kʊŋ
gou,kou
gu,ku
gua,kua
guai,kuai
guan,kuan
guang,kuaŋ
gui,kuei
gun,kuən
guo,kuo
ha,xa
hai,xai
han,xan
hang,xaŋ
hao,xau
he,xɤ
hei,xei
hen,xən
heng,xəŋ
hong,xʊŋ
hou,xou
hu,xu
hua,xua
huai,xuai
huan,xuan
huang,xuaŋ
hui,xuei
hun,xuən
huo,xuo
ji,tɕi
jia,tɕia
jian,tɕiɛn
jiang,tɕiaŋ
jiao,tɕiau
jie,tɕie
jin,tɕin
jing,tɕiŋ
jiong,tɕiʊŋ
jiu,tɕiou
ju,tɕy
juan,tɕyɛn
jue,tɕye
jun,tɕyn
ka,kʰa
kai,kʰai
kan,kʰan
kang,kʰaŋ
kao,kʰau
ke,kʰɤ
kei,kʰei
ken,kʰən
keng,kʰəŋ
kong,kʰʊŋ
kou,kʰou
ku,kʰu
kua,kʰua
kuai,kʰuai
kuan,kʰuan
kuang,kʰuaŋ
kui,kʰuei
kun,kʰuən
kuo,kʰuo
la,la
lai,lai
lan,lan
lang,laŋ
lao,lau
le,lɤ
lei,lei
leng,ləŋ
li,li
lia,lia
lian,liɛn
liang,liaŋ
liao,liau
lie,lie
lin,lin
ling,liŋ
liu,liou
lo,lɔ
long,lʊŋ
lou,lou
lu,lu
lü,ly
luan,luan
lüan,lyɛn
lüe,lye
lun,luən
lün,lyn
luo,luo
ma,ma
mai,mai
man,man
mang,maŋ
mao,mau
me,mɤ
mei,mei
men,mən
meng,məŋ
mi,mi
mian,miɛn
miao,miau
mie,mie
min,min
ming,miŋ
miu,miou
mo,muo
mou,mou
mu,mu
na,na
nai,nai
nan,nan
nang,naŋ
nao,nau
ne,nɤ
nei,nei
nen,nən
neng,nəŋ
ni,ni
nia,nia
nian,niɛn
niang,niaŋ
niao,niau
nie,nie
nin,nin
ning,niŋ
niu,niou
nong,nʊŋ
nou,nou
nu,nu
nü,ny
nuan,nuan
nüe,nye
nun,nuən
nuo,nuo
o,ɔ?
ou,ou
pa,pʰa
pai,pʰai
pan,pʰan
pang,pʰaŋ
pao,pʰau
pei,pʰei
pen,pʰən
peng,pʰəŋ
pi,pʰi
pian,pʰiɛn
piao,pʰiau
pie,pʰie
pin,pʰin
ping,pʰiŋ
po,pʰuo
pou,pʰou
pu,pʰu
qi,tɕʰi
qia,tɕʰia
qian,tɕʰiɛn
qiang,tɕʰiaŋ
qiao,tɕʰiau
qie,tɕʰie
qin,tɕʰin
qing,tɕʰiŋ
qiong,tɕʰiʊŋ
qiu,tɕʰiou
qu,tɕʰy
quan,tɕʰyɛn
que,tɕʰye
qun,tɕʰyn
ran,ʐan
rang,ʐaŋ
rao,ʐau
re,ʐɤ
ren,ʐən
reng,ʐəŋ
ri,ʐɨ
rong,ʐʊŋ
rou,ʐou
ru,ʐu
ruan,ʐuan
